part	text_index	letter	down_ms	up_ms	actual_down_ms	actual_up_ms
1	49	R	116481.87	116705.64	116485.64	116709.16
1	49	R	116773.92	116817.88	116778.12	116822.34
1	50	M	117008.39	117200.69	117012.33	117204.43
1	50	M	117267.70	117455.51	117271.64	117459.48
1	52	=	117835.48	117993.82	117839.71	117997.87
1	52	=	118058.43	118120.42	118062.71	118124.22
1	52	=	118183.01	118243.23	118186.95	118247.37
1	52	=	118294.41	118358.29	118298.62	118362.07
1	52	=	118422.45	118633.83	118426.52	118638.02
1	54	C	119123.81	119297.86	119127.70	119301.99
1	54	C	119361.23	119417.00	119365.54	119420.68
1	54	C	119474.51	119678.07	119478.43	119681.80
1	54	C	119735.92	119791.36	119739.97	119795.06
1	55	A	119957.50	120023.03	119961.23	120027.20
1	55	A	120083.39	120259.03	120087.77	120263.00
1	56	L	120642.74	120709.76	120646.96	120713.77
1	56	L	120766.60	120949.91	120772.34	120953.76
1	56	L	121007.51	121076.62	121011.59	121080.80
1	56	L	121134.22	121199.56	121138.35	121203.17
1	57	L	121382.49	121442.35	121386.12	121446.34
1	57	L	121499.00	121669.39	121502.87	121673.68
1	57	L	121728.65	121792.90	121732.24	121797.16
1	57	L	121849.08	121910.44	121853.06	121914.04
1	58	S	122075.50	122137.55	122079.76	122141.30
1	58	S	122199.06	122251.20	122203.21	122254.90
1	58	S	122301.56	122349.32	122305.94	122353.31
1	60	L	122856.22	122909.56	122860.61	122913.40
1	60	L	122975.49	123191.81	122979.20	123196.07
1	60	L	123246.70	123298.85	123251.04	123302.53
1	60	L	123350.69	123417.61	123354.40	123421.62
1	61	Y	123622.23	123800.03	123626.85	123804.08
1	61	Y	123851.63	123906.35	123855.93	123910.16
1	61	Y	123968.48	124135.68	123972.54	124139.66
1	61	Y	124182.53	124367.55	124186.43	124372.03
1	62	8	124586.42	124775.60	124590.56	124779.43
1	62	8	124843.66	125022.41	124847.60	125026.54
1	62	8	125072.65	125225.16	125076.79	125229.04
1	62	8	125286.23	125348.10	125290.51	125351.81
1	62	8	125400.92	125465.50	125405.18	125469.30
1	63	W	125665.52	125719.53	125669.58	125723.13
1	63	W	125783.47	125964.33	125787.17	125968.51
1	63	W	126024.77	126187.66	126028.75	126191.97
1	64	Y	126406.62	126604.48	126410.28	126608.91
1	64	Y	126662.56	126712.47	126667.11	126716.71
1	64	Y	126768.17	126934.37	126772.41	126937.82
1	64	Y	127004.19	127234.21	127007.81	127238.54
1	66	L	127671.74	127722.83	127675.77	127726.82
1	66	L	127770.53	127941.78	127774.90	127945.57
1	66	L	127997.80	128055.76	128002.04	128059.39
1	66	L	128109.31	128175.91	128113.52	128179.81
1	67	Z	128408.32	128678.99	128412.05	128682.70
1	67	Z	128734.09	128935.12	128738.26	128939.29
1	67	Z	129000.68	129061.65	129004.60	129065.64
1	67	Z	129114.51	129176.86	129118.82	129181.07
1	68	9	129362.63	129558.99	129366.69	129563.30
1	68	9	129618.31	129806.88	129622.13	129810.75
1	68	9	129863.84	130067.04	129868.07	130070.67
1	68	9	130114.85	130340.88	130119.03	130344.88
1	68	9	130391.36	130461.45	130395.19	130465.69
1	69	Q	130675.81	130852.47	130679.61	130857.05
1	69	Q	130916.86	131106.10	130920.47	131109.67
1	69	Q	131165.95	131224.31	131169.90	131228.75
1	69	Q	131286.41	131471.07	131290.03	131474.93
1	71	=	131904.27	132094.29	131908.09	132097.87
1	71	=	132158.79	132216.23	132162.83	132220.41
1	71	=	132267.01	132325.53	132271.20	132329.24
1	71	=	132395.93	132464.63	132399.56	132468.72
1	71	=	132526.46	132729.54	132530.50	132733.50
1	73	N	133145.59	133345.17	133149.86	133349.23
1	73	N	133410.42	133463.53	133414.09	133467.92
1	74	R	133689.45	133757.98	133693.35	133761.77
1	74	R	133809.57	134028.57	133813.20	134032.86
1	74	R	134089.15	134148.10	134093.08	134151.89
1	76	6	134597.86	134810.60	134601.97	134814.47
1	76	6	134870.97	134927.69	134874.61	134931.90
1	76	6	134991.00	135056.31	134994.85	135059.83
1	76	6	135114.10	135182.75	135118.02	135187.10
1	76	6	135237.90	135301.49	135241.53	135305.58
1	77	9	135521.59	135697.59	135525.48	135701.87
1	77	9	135744.69	135932.73	135748.31	135936.39
1	77	9	135974.44	136163.45	135978.22	136167.74
1	77	9	136213.61	136394.67	136217.96	136398.45
1	77	9	136437.35	136498.15	136440.99	136501.93
1	79	5	136916.59	136967.45	136920.48	136971.07
1	79	5	137021.54	137077.47	137025.39	137081.90
1	79	5	137132.65	137183.63	137136.53	137187.45
1	79	5	137249.55	137321.79	137253.15	137325.97
1	79	5	137371.26	137437.15	137374.92	137440.77
1	80	3	137616.40	137676.16	137620.48	137680.19
1	80	3	137729.94	137778.87	137733.82	137782.49
1	80	3	137840.59	137888.06	137844.32	137892.32
1	80	3	137935.22	138141.66	137939.28	138145.24
1	80	3	138193.01	138379.99	138197.19	138383.80
1	81	3	138515.30	138565.64	138518.77	138569.82
1	81	3	138620.31	138670.99	138624.52	138675.19
1	81	3	138717.39	138773.33	138721.17	138777.10
1	81	3	138830.18	138990.00	138834.14	138994.03
1	81	3	139056.58	139209.26	139060.24	139213.11
1	83	4	139662.28	139719.77	139666.44	139723.48
1	83	4	139778.96	139836.80	139782.98	139841.01
1	83	4	139893.58	139949.52	139897.67	139953.28
1	83	4	140012.82	140066.26	140017.32	140070.05
1	83	4	140121.76	140336.27	140125.99	140339.93
1	84	5	140522.90	140579.81	140526.93	140583.62
1	84	5	140633.47	140698.76	140637.61	140702.42
1	84	5	140766.18	140836.77	140770.29	140840.66
1	84	5	140896.15	140938.94	140900.05	140943.04
1	84	5	140991.96	141060.86	140995.66	141065.28
1	85	6	141239.63	141415.19	141243.83	141419.17
1	85	6	141476.22	141527.84	141480.27	141531.91
1	85	6	141584.77	141647.35	141588.71	141651.59
1	85	6	141707.06	141754.15	141711.03	141757.93
1	85	6	141819.17	141863.29	141822.90	141867.09
1	86	4	142016.44	142069.71	142020.41	142074.16
1	86	4	142118.65	142170.91	142122.54	142174.97
1	86	4	142234.67	142297.32	142238.70	142301.09
1	86	4	142351.11	142404.24	142355.44	142408.24
1	86	4	142441.16	142646.68	142445.18	142650.28
1	88	=	143080.19	143268.69	143084.52	143272.33
1	88	=	143320.82	143370.78	143324.79	143374.72
1	88	=	143438.10	143488.91	143442.26	143493.08
1	88	=	143551.60	143613.83	143555.83	143617.49
1	88	=	143675.66	143900.22	143679.79	143904.79
1	90	D	144396.58	144569.45	144400.72	144573.59
1	90	D	144622.96	144691.35	144626.52	144695.27
1	90	D	144751.36	144809.53	144755.27	144813.05
1	91	E	145006.21	145065.42	145009.80	145069.40
1	93	4	145498.59	145546.88	145502.51	145550.89
1	93	4	145598.85	145662.50	145602.89	145666.78
1	93	4	145728.73	145779.63	145732.80	145783.57
1	93	4	145841.21	145890.33	145845.13	145893.92
1	93	4	145954.86	146123.31	145958.88	146127.39
1	94	Z	146320.85	146453.35	146325.17	146457.45
1	94	Z	146504.25	146685.89	146508.26	146689.57
1	94	Z	146731.47	146787.27	146735.77	146791.20
1	94	Z	146840.46	146901.93	146844.73	146906.13
1	95	5	147098.89	147145.57	147102.75	147149.49
1	95	5	147206.29	147265.90	147210.38	147269.92
1	95	5	147316.32	147368.92	147319.97	147372.69
1	95	5	147423.96	147474.76	147427.88	147479.06
1	95	5	147529.42	147588.14	147533.13	147591.96
