"prefix","dxcc_entity","dxcc_name","owner_country","source"
"9O","414","Dem. Rep. of the Congo","Dem Rep Congo (Zaire)","ng3k-itu-owner"
"9P","414","Dem. Rep. of the Congo","Dem Rep Congo (Zaire)","ng3k-itu-owner"
"9Q","414","Dem. Rep. of the Congo","Dem Rep Congo (Zaire)","ng3k-itu-owner"
"9R","414","Dem. Rep. of the Congo","Dem Rep Congo (Zaire)","ng3k-itu-owner"
"9S","414","Dem. Rep. of the Congo","Dem Rep Congo (Zaire)","ng3k-itu-owner"
"9T","414","Dem. Rep. of the Congo","Dem Rep Congo (Zaire)","ng3k-itu-owner"
"9U","404","Burundi","Burundi","ng3k-direct"
"9V","381","Singapore","Singapore","ng3k-direct"
"9W","299","West Malaysia","West Malaysia","ng3k-direct"
"9W6","46","East Malaysia","East Malaysia","ng3k-direct"
"9W8","46","East Malaysia","East Malaysia","ng3k-direct"
"9X","454","Rwanda","Rwanda","ng3k-direct"
"9Y","90","Trinidad & Tobago","Trinidad & Tobago","ng3k-direct"
"9Z","90","Trinidad & Tobago","Trinidad & Tobago","ng3k-direct"
"A2","402","Botswana","Botswana","ng3k-direct"
"A3","160","Tonga","Tonga","ng3k-direct"
"A4","370","Oman","Oman","ng3k-direct"
"A5","306","Bhutan","Bhutan","ng3k-direct"
"A6","391","United Arab Emirates","United Arab Emirates","ng3k-direct"
"A7","376","Qatar","Qatar","ng3k-direct"
"A8","434","Liberia","Liberia","ng3k-direct"
"A9","304","Bahrain","Bahrain","ng3k-direct"
"AA","291","United States","United States","ng3k-direct"
"AB","291","United States","United States","ng3k-direct"
"AC","291","United States","United States","ng3k-direct"
"AD","291","United States","United States","ng3k-direct"
"AD4BL","6","Alaska","Alaska","ng3k-direct"
"AE","291","United States","United States","ng3k-direct"
"AF","291","United States","United States","ng3k-direct"
"AG","291","United States","United States","ng3k-direct"
"AG7XY","110","Hawaii","Hawaii","ng3k-direct"
"AH0","166","Mariana Islands","Mariana Is","ng3k-itu-owner"
"AH0AB","291","United States","United States","ng3k-direct"
"AH0AJ","291","United States","United States","ng3k-direct"
"AH0AM","291","United States","United States","ng3k-direct"
"AH0AX","291","United States","United States","ng3k-direct"
"AH0BR","291","United States","United States","ng3k-direct"
"AH0BV","291","United States","United States","ng3k-direct"
"AH0BZ","291","United States","United States","ng3k-direct"
"AH0C","291","United States","United States","ng3k-direct"
"AH0CC","291","United States","United States","ng3k-direct"
"AH0CJ","291","United States","United States","ng3k-direct"
"AH0CX","291","United States","United States","ng3k-direct"
"AH0G","291","United States","United States","ng3k-direct"
"AH0O","291","United States","United States","ng3k-direct"
"AH0Q","291","United States","United States","ng3k-direct"
"AH0U","291","United States","United States","ng3k-direct"
"AH0W","291","United States","United States","ng3k-direct"
