"Prefix","FlagCountry"
"ZQ","England"
"ZR","South Africa"
"ZS","South Africa"
"ZS7","Chile"
"ZS8","South Africa"
"ZT","South Africa"
"ZU","South Africa"
"ZV","Brazil"
"ZW","Brazil"
"ZX","Brazil"
"ZX0","Chile"
"ZY","Brazil"
"ZZ","Brazil"
